,City,Cloudiness,Country,Date,Humidity,Lat,Lng,Max,Temp,Wind,Speed
0,Vengerovo,48,RU,1549676120,33,55,76,-22,-22,137,13
1,Alofi,92,NU,1549676120,97,-19,-169,83,83,35,28
2,Batsfjord,0,NO,1549676120,100,70,29,20,20,245,11
3,Namibe,0,AO,1549676120,100,-15,12,74,74,177,12
4,Pierre,1,US,1549673580,71,44,-100,0,0,90,16
5,Fort Nelson,5,CA,1549674000,75,58,-122,-13,-13,139,3
6,Bambous Virieux,75,MU,1549674000,88,-20,57,77,77,110,3
7,Igra,76,RU,1549676121,80,57,53,8,8,183,3
8,Mahebourg,75,MU,1549674000,88,-20,57,77,77,110,3
9,La Ronge,5,CA,1549674000,74,55,-105,-22,-22,318,4
10,Kodiak,1,US,1549674900,23,39,-94,15,14,109,5
11,Busselton,0,AU,1549676122,85,-33,115,73,73,111,12
12,Ushuaia,75,AR,1549674000,76,-54,-68,48,48,230,12
13,Savannakhet,40,TH,1549670400,69,16,104,73,73,40,2
14,Georgetown,0,GY,1549674000,88,6,-58,80,78,30,6
15,Nikolskoye,75,RU,1549674000,95,59,30,35,35,220,6
16,Gravelbourg,56,CA,1549676123,29,49,-106,-21,-21,71,3
17,Castro,75,CL,1549674000,72,-42,-73,59,59,190,4
18,Masunga,0,BW,1549676124,77,-20,27,60,60,75,8
19,Cayenne,90,GF,1549674000,88,4,-52,77,77,40,6
20,Aracati,0,BR,1549676124,87,-4,-37,77,77,74,8
21,Praia,0,BR,1549670400,73,-20,-43,73,71,90,11
22,Mataura,8,NZ,1549676125,33,-46,168,83,83,332,22
23,Chokurdakh,36,RU,1549676125,66,70,147,-14,-14,289,15
24,San Jose,8,PH,1549676126,72,15,120,79,79,88,2
25,Kapaa,1,US,1549673760,47,22,-159,78,78,360,21
26,Angoche,64,MZ,1549676126,100,-16,39,81,81,230,6
27,Rikitea,36,PF,1549676126,100,-23,-134,79,79,25,4
28,Albany,75,US,1549673640,50,42,-73,28,27,300,17
29,Luderitz,44,NA,1549676127,94,-26,15,62,62,159,4
30,Ribeira Grande,92,PT,1549676127,98,38,-28,62,62,202,38
31,Cape Town,0,ZA,1549674000,88,-33,18,64,64,220,8
32,Coari,20,BR,1549676127,94,-4,-63,77,77,352,7
33,Nautla,88,MX,1549676127,100,20,-96,65,65,298,29
34,Surenavan,75,AM,1549674000,93,39,44,35,33,350,1
35,Cabo San Lucas,40,MX,1549673100,53,22,-109,71,71,210,3
36,Bethel,1,US,1549673760,96,60,-161,33,32,110,6
37,Avarua,92,CK,1549674000,83,-21,-159,82,82,80,12
38,Kruisfontein,100,ZA,1549676129,96,-34,24,66,66,276,7
39,Tiksi,44,RU,1549676129,59,71,128,-12,-12,270,15
40,Provideniya,92,RU,1549676129,92,64,-173,27,27,126,27
41,Thinadhoo,68,MV,1549676129,96,0,72,84,84,186,10
42,Atuona,36,PF,1549676130,100,-9,-139,81,81,98,15
43,New Norfolk,75,AU,1549674000,44,-42,147,60,60,210,11
44,Hobart,75,AU,1549674000,44,-42,147,60,60,210,11
45,Lasa,20,CY,1549674000,87,34,32,55,53,340,5
46,Lavrentiya,48,RU,1549676130,86,65,-170,22,22,151,16
47,Kavieng,56,PG,1549676131,94,-2,150,86,86,324,16
48,Chandler,1,US,1549674900,20,33,-111,64,62,350,3
49,Leningradskiy,48,RU,1549676131,81,69,178,-1,-1,266,3
50,Grindavik,40,IS,1549674000,85,63,-22,26,25,10,23
51,Smestad,90,NO,1549675200,93,59,10,39,36,50,1
52,Arraial do Cabo,20,BR,1549674000,88,-22,-42,73,73,360,4
53,Dikson,56,RU,1549676132,88,73,80,-9,-9,194,26
54,Butaritari,92,KI,1549676133,100,3,172,84,84,38,21
